AU2017_NAME,Latitude,Longitude
Addington,172.6202452,-43.54349699
Aidanfield,172.5689873,-43.56443448
Akaroa,172.9661554,-43.80670045
Akaroa Harbour,172.9393251,-43.77155653
Allenton East,171.7528205,-43.89217495
Allenton West,171.741959,-43.89052189
Amberley,172.7298326,-43.15583383
Amuri,172.7196715,-42.58929648
Aorangi,172.5947285,-43.49929076
Aranui,172.7027531,-43.51071503
Ashburton Central East,171.7503667,-43.90553666
Ashburton Central West,171.7475955,-43.9016245
Ashburton East,171.7707682,-43.91409598
Ashburton North,171.7687268,-43.87860195
Ashley,172.6196598,-43.25847124
Ashley Gorge,172.1920761,-43.3033563
Aviemore,170.0716208,-44.58004512
Avon Loop,172.6431603,-43.52559916
Avondale,172.693007,-43.50811475
Avonhead,172.5588624,-43.52135136
Avonhead West,172.5404003,-43.52057807
Avonside,172.672206,-43.52327137
Banks Peninsula Eastern Bays,172.9689577,-43.73329893
Barrington North,172.6096744,-43.55400347
Barrington South,172.6189142,-43.5643779
Beckenham,172.6417023,-43.5598484
Belfast,172.6288272,-43.45171396
Belfast South,172.6201652,-43.4603692
Ben Mcleod,171.2583893,-43.85746154
Bexley,172.7095455,-43.51674379
Bishopdale,172.5860889,-43.49451352
Bishopdale North,172.5768897,-43.48048088
Bromley,172.6973152,-43.53473063
Broomfield,172.538697,-43.52679522
Bryndwr,172.5957071,-43.51361787
Burnham Military Camp,172.3090225,-43.61719969
Burnside,172.571907,-43.50289292
Burwood,172.6710329,-43.50633792
Camside,172.6881303,-43.3804567
Casebrook,172.5992553,-43.48638948
Cashmere East,172.64255,-43.58851438
Cashmere West,172.6349472,-43.57973482
Cathedral Square,172.6384602,-43.53557565
Chertsey,171.8981465,-43.84816205
Cheviot,173.2681802,-42.81646308
Clarkville,172.6397968,-43.40156618
Coldstream,172.663752,-43.29380532
Courtenay,172.6585867,-43.389764
Culverden,172.8443745,-42.77869505
Cust,172.3997955,-43.31136416
Dallington,172.6731242,-43.51449324
Darfield,172.1105505,-43.48867319
Deans Bush,172.5963618,-43.5244859
Diamond Harbour,172.7134961,-43.63982213
Dunsandel,172.1857477,-43.66172644
Duntroon,170.6802584,-44.85351332
Edgeware,172.6476118,-43.5152719
Ensors,172.6666717,-43.54470178
Eyrewell,172.3705643,-43.38399591
Fairlie,170.8282242,-44.097766
Fairton,171.7987533,-43.87951229
Fairview-Scarborough,171.229676,-44.42132662
Fendalton,172.5844992,-43.51731456
Fernside,172.545312,-43.3142335
Ferrymead,172.6904725,-43.54932473
Fraser Park,171.2332204,-44.39534635
Geraldine,171.2432612,-44.09316747
Gleniti,171.1987895,-44.38531986
Glenwood,171.2099172,-44.3872324
Governors Bay,172.6463527,-43.63857312
Hagley Park,172.6251988,-43.52834829
Halswell Domain,172.569893,-43.58059984
Halswell South,172.568218,-43.58560357
Halswell West,172.5388498,-43.57511653
Hampstead,171.7565826,-43.90973648
Hanmer Springs,172.8291022,-42.52335658
Harewood,172.5718014,-43.48588856
Hawthornden,172.5506971,-43.50786136
Heathcote Valley,172.7021008,-43.57033595
Hendersons Basin,172.5869326,-43.57669627
Highfield,171.2253871,-44.38916179
Highfield Park,172.6495194,-43.47915704
Hillmorton,172.5890554,-43.55823681
Hinds,171.5906856,-43.94338837
Holmwood,172.6053764,-43.5202919
Hoon Hay,172.6039267,-43.56283897
Hoon Hay South,172.6119617,-43.57012505
Hornby North,172.5260432,-43.54079769
Hornby South,172.5298841,-43.54682733
Hurunui,172.8392232,-42.96249471
Ilam,172.5697874,-43.52208799
Islington,172.5090964,-43.55004143
Jellie Park,172.5831426,-43.50823132
Kaiapoi East,172.662935,-43.38159125
Kaiapoi North East,172.6672832,-43.37150106
Kaiapoi North West,172.6546016,-43.37202373
Kaiapoi South,172.6537302,-43.38607875
Kaiapoi West,172.6428462,-43.38271519
Kaikoura Rural,173.7045022,-42.3205969
Kaikoura Township,173.6811688,-42.39977693
Kennedys Bush,172.6067666,-43.61180993
Kingsbury,172.5888874,-43.29248157
Kirwee,172.199258,-43.53779385
Kurow,170.4655148,-44.73616682
Lake Tekapo,170.4698792,-44.0037846
Lake Tennyson,172.8150153,-42.45240684
Leeston,172.2997188,-43.76127063
Lehmans,172.5729328,-43.3055832
Leithfield,172.7298243,-43.1609015
Levels,171.1898331,-44.33148849
Lincoln,172.4806364,-43.63901258
Linwood,172.6574762,-43.52969335
Linwood East,172.6782084,-43.53188754
Linwood North,172.6740892,-43.52880027
Little River,172.7151804,-43.75971287
Loburn,172.5527505,-43.25427228
Lyttelton,172.6951758,-43.60641732
Mackenzie,170.4715573,-44.08179316
Mairaki,172.3339464,-43.30862945
Mairehau,172.6417559,-43.50236828
Mairehau North,172.6509698,-43.49138886
Malvern,171.8297641,-43.33766053
Mandeville,172.5181318,-43.39115408
Mansfield,172.6482814,-43.39139209
Maori Park,171.2426416,-44.3882746
Marchwiel,171.2322802,-44.37916138
Mcleans Island,172.5073805,-43.48260573
Merivale,172.621144,-43.51665716
Merrin,172.5599678,-43.50941681
Methven,171.6429388,-43.63066258
Middleton,172.5872482,-43.54438833
Mona Vale,172.6032341,-43.52857172
Moncks Bay,172.7407581,-43.56629953
Mt Pleasant,172.7182619,-43.56221346
Mt Somers,171.5398844,-43.68514905
Netherby,171.762787,-43.90058708
New Brighton,172.7298894,-43.51242634
North Beach,172.7141982,-43.49079959
Northcote,172.6128191,-43.48818711
Oaklands East,172.5611766,-43.57655219
Oaklands West,172.5395622,-43.56591113
Ohoka,172.581249,-43.39332174
Okuku,172.3422124,-43.22384054
Omarama,169.9694027,-44.47925441
Opawa,172.6610029,-43.5523185
Orari,171.2642805,-44.13475637
Otematata,170.2043946,-44.60744923
Otipua Creek-Washdyke Flat,171.2049174,-44.36770172
Oxford,172.1831672,-43.29803819
Papanui,172.6083175,-43.49663998
Paparua,172.4670669,-43.53152316
Pareora,171.213687,-44.48528105
Parklands,172.6990171,-43.48003834
Parkside,171.249854,-44.40415892
Parnassus,173.2971327,-42.72472516
Pegasus,172.6801264,-43.31081518
Phillipstown,172.6609151,-43.53722343
Pines-Kairaki Beach,172.7039062,-43.38385009
Plains Railway,171.7073875,-43.92409551
Pleasant Point,171.1313774,-44.26043172
Port Levy,172.8013408,-43.6612244
Prebbleton,172.5099172,-43.58389008
Prestons,172.6621969,-43.4776664
Rakaia,172.0225882,-43.75578818
Rangiora Central,172.592763,-43.3108456
Rangiora East,172.5985696,-43.3082765
Rangiora North,172.5900611,-43.30210107
Rangiora West,172.5844856,-43.30867452
Rapaki Track,172.6778945,-43.56908828
Ravenswood,172.6742029,-43.3094263
Rawhiti,172.7164884,-43.50185754
Redruth,171.2458373,-44.4167605
Redwood North,172.6209638,-43.47377901
Redwood South,172.6201674,-43.48541108
Riccarton,172.6015894,-43.53332153
Riccarton South,172.6081429,-43.54037977
Riccarton West,172.5924208,-43.53384955
Richmond North,172.6570776,-43.51276351
Richmond South,172.6547651,-43.52021214
Rolleston Central,172.3792888,-43.59635258
Rolleston North East,172.3848877,-43.59084582
Rolleston North West,172.3633216,-43.59902628
Rolleston South East,172.3982696,-43.61043596
Rolleston South West,172.3727313,-43.60778024
Russley,172.5609219,-43.49577503
Rutland,172.6283173,-43.50484243
Sawyers Arms,172.5869158,-43.46982709
Seaview,171.247319,-44.39563926
Sefton,172.6896027,-43.25754534
Selwyn-Rakaia,172.1934336,-43.71992925
Shirley East,172.6616768,-43.50093949
Shirley West,172.6495579,-43.49992265
Silverstream,172.6380944,-43.37925628
Sockburn,172.561704,-43.53492628
Somerfield,172.6306711,-43.55721278
South Brighton,172.7374838,-43.53198573
Southbridge,172.2541422,-43.81074834
Southbrook,172.5990198,-43.32624825
Spreydon,172.6194785,-43.55156801
Springston,172.4123529,-43.64880193
St Albans East,172.638298,-43.51605792
St Albans West,172.6296759,-43.51721821
St Andrews,171.1884041,-44.53145155
St Martins,172.6523704,-43.55987187
Strowan,172.6104701,-43.50806953
Styx,172.6563701,-43.43358021
Styx Mill,172.6149699,-43.47388108
Sumner,172.7605565,-43.57845434
Sydenham,172.6376146,-43.54639647
Taitapu,172.5500124,-43.66458833
Templeton,172.4739679,-43.55363598
Temuka,171.2801956,-44.24116479
Timaru Gardens,171.2502596,-44.4120771
Tinwald,171.7229779,-43.91895296
Travis,172.6919216,-43.49780777
Travis Wetland,172.6877126,-43.48623375
Trents-Ladbrooks,172.4995727,-43.57929603
Tuahiwi,172.638565,-43.34548982
Twizel Community,170.0964491,-44.26297124
Upper Riccarton,172.5744664,-43.53022978
Waiau,173.0424516,-42.65425555
Waihao,171.0298059,-44.72157064
Waikuku,172.708157,-43.2847641
Waimairi Beach,172.7118486,-43.48007588
Waimataitai,171.2393299,-44.38122897
Waimate,171.0455155,-44.73320154
Wainoni,172.6888793,-43.51980947
Wairarapa,172.5772076,-43.50466865
Waltham,172.6502877,-43.54378822
Washdyke,171.2393612,-44.35913492
Watlington,171.2341438,-44.40605618
West Eyreton,172.4018837,-43.34161039
West Melton,172.4281505,-43.58003571
Westburn,172.5698139,-43.51386819
Westhaven,172.6710731,-43.49229645
Westmorland,172.6029071,-43.5805252
Wharenui,172.5802979,-43.5338523
Wigram,172.556817,-43.54953943
Winchester,171.2783696,-44.18816687
Woodend,172.6652961,-43.32140487
Woodend Beach,172.6703116,-43.34022229
Woodend West,172.6607608,-43.32329691
Woolston South,172.6802405,-43.55387231
Woolston West,172.6732427,-43.54103855
Yaldhurst,172.5348616,-43.4981572
